French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
donner,give
type,type
leurs,their
donné,given
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
matin,morning
tellement,so much
enfant,child
venu,came
venez,come
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
parti,left
nouvelle,new
arrêter,Stop
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
